0,n/a,Remo,Manaus,1.75,2.6,3.6,1.3,2.3
0,n/a,Luqueno,Nacional,2.1,2.75,2.55,1.5,1.9
0,n/a,Deportivo Cali,Alianza Petrolera,1.4,3.1,4.75,1.4,2.05
0,n/a,Ceara,Goias,1.4,3.2,4.6,1.5,1.85
0,n/a,Atletico GO,Botafogo,1.75,2.8,3.3,1.4,2
0,n/a,OKC Energy,Austin Bold,2.3,3.2,2.05,1.85,1.5
0,n/a,Atletico San Luis,Club Leon,3.6,3.3,1.5,1.8,1.55
0,n/a,New York RB,Montreal Impact,1.4,3.5,4.25,1.9,1.5
0,n/a,DC United,New England,2.95,3,1.8,1.7,1.62
0,n/a,Emelec,Deportivo Cuenca,1.3,3.75,5.5,1.85,1.5
0,n/a,Medellín,Deportivo Pereira,1.7,2.8,3.5,1.4,2.1
0,n/a,Philadelphia Union,Inter Miami,2.05,3,2.4,1.67,1.65
0,n/a,Chicago Fire,Atlanta United,1.45,3.4,4,1.95,1.5
0,n/a,Toronto,Columbus Crew,2,3,2.55,1.67,1.67
0,n/a,Santos,Fortaleza,1.75,2.85,3.2,1.5,1.9
0,n/a,Ponte Preta,AD Confiança,1.4,3,5,1.4,2.05
